"","0%","5%","10%","25%","50%","75%","90%","95%","100%","mean","chance_loss","chance_zero","chance_gain"
"y.total_yearly_vegetable_mushroom_serving_wasted_inter_one1"," 1.2e+04"," 3.5e+04"," 4.0e+04"," 4.8e+04"," 5.8e+04","7.1e+04","8.4e+04","9.2e+04","1.3e+05"," 6.0e+04","0.000","0","1.00"
"y.total_yearly_vegetable_mushroom_serving_wasted_inter_one2"," 1.2e+04"," 3.5e+04"," 4.0e+04"," 4.8e+04"," 5.8e+04","7.1e+04","8.4e+04","9.2e+04","1.3e+05"," 6.0e+04","0.000","0","1.00"
"y.total_yearly_vegetable_mushroom_serving_wasted_inter_one3"," 1.2e+04"," 3.5e+04"," 4.0e+04"," 4.8e+04"," 5.8e+04","7.1e+04","8.4e+04","9.2e+04","1.3e+05"," 6.0e+04","0.000","0","1.00"
"y.total_yearly_vegetable_mushroom_serving_wasted_inter_one4"," 1.2e+04"," 3.5e+04"," 4.0e+04"," 4.8e+04"," 5.8e+04","7.1e+04","8.4e+04","9.2e+04","1.3e+05"," 6.0e+04","0.000","0","1.00"
"y.total_vegetable_mushroom_serving_wasted_inter_two"," 4.8e+04"," 1.4e+05"," 1.5e+05"," 1.9e+05"," 2.3e+05","2.8e+05","3.4e+05","3.9e+05","5.5e+05"," 2.4e+05","0.000","0","1.00"
"y.total_yearly_vegetable_mushroom_serving_wasted_inter_two1"," 1.2e+04"," 3.5e+04"," 3.9e+04"," 4.7e+04"," 5.7e+04","7.0e+04","8.4e+04","9.7e+04","1.4e+05"," 6.0e+04","0.000","0","1.00"
"y.total_yearly_vegetable_mushroom_serving_wasted_inter_two2"," 1.2e+04"," 3.5e+04"," 3.9e+04"," 4.7e+04"," 5.7e+04","7.0e+04","8.4e+04","9.7e+04","1.4e+05"," 6.0e+04","0.000","0","1.00"
"y.total_yearly_vegetable_mushroom_serving_wasted_inter_two3"," 1.2e+04"," 3.5e+04"," 3.9e+04"," 4.7e+04"," 5.7e+04","7.0e+04","8.4e+04","9.7e+04","1.4e+05"," 6.0e+04","0.000","0","1.00"
"y.total_yearly_vegetable_mushroom_serving_wasted_inter_two4"," 1.2e+04"," 3.5e+04"," 3.9e+04"," 4.7e+04"," 5.7e+04","7.0e+04","8.4e+04","9.7e+04","1.4e+05"," 6.0e+04","0.000","0","1.00"
"y.total_bean_nut_serving_wasted_inter_one"," 6.0e+04"," 9.3e+04"," 1.0e+05"," 1.2e+05"," 1.5e+05","1.8e+05","2.1e+05","2.4e+05","3.5e+05"," 1.6e+05","0.000","0","1.00"
"y.total_yearly_bean_nut_serving_wasted_inter_one1"," 1.5e+04"," 2.3e+04"," 2.6e+04"," 3.1e+04"," 3.8e+04","4.5e+04","5.3e+04","6.0e+04","8.8e+04"," 3.9e+04","0.000","0","1.00"
"y.total_yearly_bean_nut_serving_wasted_inter_one2"," 1.5e+04"," 2.3e+04"," 2.6e+04"," 3.1e+04"," 3.8e+04","4.5e+04","5.3e+04","6.0e+04","8.9e+04"," 3.9e+04","0.000","0","1.00"
"y.total_yearly_bean_nut_serving_wasted_inter_one3"," 1.5e+04"," 2.3e+04"," 2.6e+04"," 3.1e+04"," 3.8e+04","4.5e+04","5.3e+04","6.0e+04","8.8e+04"," 3.9e+04","0.000","0","1.00"
"y.total_yearly_bean_nut_serving_wasted_inter_one4"," 1.5e+04"," 2.3e+04"," 2.6e+04"," 3.1e+04"," 3.8e+04","4.5e+04","5.3e+04","6.0e+04","8.9e+04"," 3.9e+04","0.000","0","1.00"
"y.total_bean_nut_serving_wasted_inter_two"," 6.0e+04"," 9.1e+04"," 1.0e+05"," 1.2e+05"," 1.5e+05","1.8e+05","2.1e+05","2.5e+05","3.6e+05"," 1.5e+05","0.000","0","1.00"
"y.total_yearly_bean_nut_serving_wasted_inter_two1"," 1.5e+04"," 2.3e+04"," 2.5e+04"," 3.1e+04"," 3.7e+04","4.4e+04","5.3e+04","6.1e+04","9.1e+04"," 3.8e+04","0.000","0","1.00"
"y.total_yearly_bean_nut_serving_wasted_inter_two2"," 1.5e+04"," 2.3e+04"," 2.5e+04"," 3.1e+04"," 3.7e+04","4.4e+04","5.3e+04","6.2e+04","9.1e+04"," 3.8e+04","0.000","0","1.00"
"y.total_yearly_bean_nut_serving_wasted_inter_two3"," 1.5e+04"," 2.3e+04"," 2.5e+04"," 3.1e+04"," 3.7e+04","4.4e+04","5.3e+04","6.1e+04","9.1e+04"," 3.8e+04","0.000","0","1.00"
"y.total_yearly_bean_nut_serving_wasted_inter_two4"," 1.5e+04"," 2.3e+04"," 2.5e+04"," 3.1e+04"," 3.7e+04","4.4e+04","5.3e+04","6.2e+04","9.1e+04"," 3.8e+04","0.000","0","1.00"
"y.total_pork_serving_wasted_inter_one"," 2.6e+04"," 1.4e+05"," 1.6e+05"," 2.0e+05"," 2.4e+05","2.9e+05","3.3e+05","3.5e+05","4.7e+05"," 2.4e+05","0.000","0","1.00"
"y.total_yearly_pork_serving_wasted_inter_one1"," 6.5e+03"," 3.4e+04"," 3.9e+04"," 4.9e+04"," 6.1e+04","7.2e+04","8.3e+04","8.7e+04","1.2e+05"," 6.1e+04","0.000","0","1.00"
"y.total_yearly_pork_serving_wasted_inter_one2"," 6.5e+03"," 3.4e+04"," 3.9e+04"," 4.9e+04"," 6.1e+04","7.2e+04","8.3e+04","8.7e+04","1.2e+05"," 6.1e+04","0.000","0","1.00"
"y.total_yearly_pork_serving_wasted_inter_one3"," 6.5e+03"," 3.4e+04"," 3.9e+04"," 4.9e+04"," 6.1e+04","7.2e+04","8.3e+04","8.7e+04","1.2e+05"," 6.1e+04","0.000","0","1.00"
"y.total_yearly_pork_serving_wasted_inter_one4"," 6.5e+03"," 3.4e+04"," 3.9e+04"," 4.9e+04"," 6.1e+04","7.2e+04","8.3e+04","8.7e+04","1.2e+05"," 6.1e+04","0.000","0","1.00"
"y.total_pork_serving_wasted_inter_two"," 3.8e+02"," 1.5e+03"," 1.9e+03"," 2.7e+03"," 3.9e+03","5.3e+03","6.9e+03","7.6e+03","1.8e+04"," 4.2e+03","0.000","0","1.00"
"y.total_yearly_pork_serving_wasted_inter_two1"," 1.4e+02"," 3.9e+02"," 4.8e+02"," 6.8e+02"," 9.7e+02","1.3e+03","1.7e+03","1.9e+03","4.4e+03"," 1.0e+03","0.000","0","1.00"
"y.total_yearly_pork_serving_wasted_inter_two2"," 5.5e+01"," 3.8e+02"," 4.7e+02"," 6.8e+02"," 9.7e+02","1.3e+03","1.7e+03","1.9e+03","4.5e+03"," 1.0e+03","0.000","0","1.00"
"y.total_yearly_pork_serving_wasted_inter_two3"," 6.0e+01"," 3.8e+02"," 4.7e+02"," 6.9e+02"," 9.7e+02","1.3e+03","1.7e+03","1.9e+03","4.4e+03"," 1.0e+03","0.000","0","1.00"
"y.total_yearly_pork_serving_wasted_inter_two4"," 1.2e+02"," 3.8e+02"," 4.6e+02"," 6.8e+02"," 9.7e+02","1.3e+03","1.7e+03","1.9e+03","4.4e+03"," 1.0e+03","0.000","0","1.00"
"y.total_beef_serving_wasted_inter_one"," 5.7e+04"," 1.5e+05"," 1.7e+05"," 2.1e+05"," 2.5e+05","3.0e+05","3.4e+05","3.6e+05","4.4e+05"," 2.5e+05","0.000","0","1.00"
"y.total_yearly_beef_serving_wasted_inter_one1"," 1.4e+04"," 3.6e+04"," 4.1e+04"," 5.1e+04"," 6.3e+04","7.4e+04","8.5e+04","9.1e+04","1.1e+05"," 6.3e+04","0.000","0","1.00"
"y.total_yearly_beef_serving_wasted_inter_one2"," 1.4e+04"," 3.6e+04"," 4.1e+04"," 5.1e+04"," 6.3e+04","7.4e+04","8.5e+04","9.1e+04","1.1e+05"," 6.3e+04","0.000","0","1.00"
"y.total_yearly_beef_serving_wasted_inter_one3"," 1.4e+04"," 3.6e+04"," 4.1e+04"," 5.1e+04"," 6.3e+04","7.4e+04","8.5e+04","9.1e+04","1.1e+05"," 6.3e+04","0.000","0","1.00"
"y.total_yearly_beef_serving_wasted_inter_one4"," 1.4e+04"," 3.6e+04"," 4.1e+04"," 5.1e+04"," 6.3e+04","7.4e+04","8.5e+04","9.1e+04","1.1e+05"," 6.3e+04","0.000","0","1.00"
"y.total_beef_serving_wasted_inter_two"," 1.6e+03"," 5.1e+03"," 6.0e+03"," 8.1e+03"," 1.1e+04","1.5e+04","1.9e+04","2.2e+04","4.6e+04"," 1.2e+04","0.000","0","1.00"
"y.total_yearly_beef_serving_wasted_inter_two1"," 3.9e+02"," 1.3e+03"," 1.5e+03"," 2.0e+03"," 2.8e+03","3.7e+03","4.7e+03","5.4e+03","1.2e+04"," 3.0e+03","0.000","0","1.00"
"y.total_yearly_beef_serving_wasted_inter_two2"," 4.3e+02"," 1.3e+03"," 1.5e+03"," 2.0e+03"," 2.8e+03","3.7e+03","4.7e+03","5.4e+03","1.2e+04"," 3.0e+03","0.000","0","1.00"
"y.total_yearly_beef_serving_wasted_inter_two3"," 3.8e+02"," 1.3e+03"," 1.5e+03"," 2.0e+03"," 2.8e+03","3.7e+03","4.7e+03","5.5e+03","1.2e+04"," 3.0e+03","0.000","0","1.00"
"y.total_yearly_beef_serving_wasted_inter_two4"," 4.2e+02"," 1.3e+03"," 1.5e+03"," 2.0e+03"," 2.8e+03","3.7e+03","4.7e+03","5.4e+03","1.2e+04"," 3.0e+03","0.000","0","1.00"
"y.total_fish_serving_wasted_inter_one"," 1.2e+04"," 2.8e+04"," 3.4e+04"," 4.4e+04"," 5.8e+04","7.2e+04","8.8e+04","9.6e+04","1.3e+05"," 6.0e+04","0.000","0","1.00"
"y.total_yearly_fish_serving_wasted_inter_one1"," 2.9e+03"," 7.1e+03"," 8.5e+03"," 1.1e+04"," 1.5e+04","1.8e+04","2.2e+04","2.4e+04","3.4e+04"," 1.5e+04","0.000","0","1.00"
"y.total_yearly_fish_serving_wasted_inter_one2"," 2.9e+03"," 7.0e+03"," 8.5e+03"," 1.1e+04"," 1.5e+04","1.8e+04","2.2e+04","2.4e+04","3.4e+04"," 1.5e+04","0.000","0","1.00"
"y.total_yearly_fish_serving_wasted_inter_one3"," 2.9e+03"," 7.0e+03"," 8.5e+03"," 1.1e+04"," 1.5e+04","1.8e+04","2.2e+04","2.4e+04","3.4e+04"," 1.5e+04","0.000","0","1.00"
"y.total_yearly_fish_serving_wasted_inter_one4"," 2.9e+03"," 7.1e+03"," 8.5e+03"," 1.1e+04"," 1.5e+04","1.8e+04","2.2e+04","2.4e+04","3.4e+04"," 1.5e+04","0.000","0","1.00"
"y.total_fish_serving_wasted_inter_two"," 1.1e+04"," 2.8e+04"," 3.4e+04"," 4.3e+04"," 5.7e+04","7.1e+04","8.8e+04","9.9e+04","1.5e+05"," 5.9e+04","0.000","0","1.00"
"y.total_yearly_fish_serving_wasted_inter_two1"," 2.7e+03"," 7.1e+03"," 8.6e+03"," 1.1e+04"," 1.4e+04","1.8e+04","2.2e+04","2.5e+04","3.7e+04"," 1.5e+04","0.000","0","1.00"
"y.total_yearly_fish_serving_wasted_inter_two2"," 2.7e+03"," 7.1e+03"," 8.6e+03"," 1.1e+04"," 1.4e+04","1.8e+04","2.2e+04","2.5e+04","3.7e+04"," 1.5e+04","0.000","0","1.00"
"y.total_yearly_fish_serving_wasted_inter_two3"," 2.7e+03"," 7.1e+03"," 8.5e+03"," 1.1e+04"," 1.4e+04","1.8e+04","2.2e+04","2.5e+04","3.7e+04"," 1.5e+04","0.000","0","1.00"
"y.total_yearly_fish_serving_wasted_inter_two4"," 2.7e+03"," 7.1e+03"," 8.6e+03"," 1.1e+04"," 1.4e+04","1.8e+04","2.2e+04","2.5e+04","3.7e+04"," 1.5e+04","0.000","0","1.00"
"y.total_prawn_serving_wasted_inter_one"," 4.9e+02"," 8.6e+02"," 1.2e+03"," 1.7e+03"," 2.5e+03","3.5e+03","4.4e+03","5.2e+03","1.1e+04"," 2.7e+03","0.000","0","1.00"
"y.total_yearly_prawn_serving_wasted_inter_one1"," 1.1e+02"," 2.2e+02"," 2.9e+02"," 4.3e+02"," 6.2e+02","8.6e+02","1.1e+03","1.3e+03","2.6e+03"," 6.8e+02","0.000","0","1.00"
"y.total_yearly_prawn_serving_wasted_inter_one2"," 1.2e+02"," 2.1e+02"," 2.9e+02"," 4.4e+02"," 6.2e+02","8.7e+02","1.1e+03","1.3e+03","2.7e+03"," 6.8e+02","0.000","0","1.00"
"y.total_yearly_prawn_serving_wasted_inter_one3"," 9.7e+01"," 2.2e+02"," 2.9e+02"," 4.3e+02"," 6.3e+02","8.7e+02","1.1e+03","1.3e+03","2.7e+03"," 6.8e+02","0.000","0","1.00"
"y.total_yearly_prawn_serving_wasted_inter_one4"," 1.1e+02"," 2.2e+02"," 2.9e+02"," 4.3e+02"," 6.2e+02","8.7e+02","1.1e+03","1.3e+03","2.7e+03"," 6.8e+02","0.000","0","1.00"
"y.total_prawn_serving_wasted_inter_two"," 4.9e+02"," 8.7e+02"," 1.2e+03"," 1.7e+03"," 2.5e+03","3.5e+03","4.4e+03","5.2e+03","1.1e+04"," 2.7e+03","0.000","0","1.00"
"y.total_yearly_prawn_serving_wasted_inter_two1"," 1.1e+02"," 2.2e+02"," 2.9e+02"," 4.3e+02"," 6.3e+02","8.8e+02","1.1e+03","1.3e+03","2.6e+03"," 6.8e+02","0.000","0","1.00"
"y.total_yearly_prawn_serving_wasted_inter_two2"," 8.7e+01"," 2.2e+02"," 2.9e+02"," 4.4e+02"," 6.2e+02","8.7e+02","1.1e+03","1.3e+03","2.7e+03"," 6.8e+02","0.000","0","1.00"
"y.total_yearly_prawn_serving_wasted_inter_two3"," 1.1e+02"," 2.2e+02"," 2.9e+02"," 4.3e+02"," 6.3e+02","8.7e+02","1.1e+03","1.3e+03","2.7e+03"," 6.8e+02","0.000","0","1.00"
"y.total_yearly_prawn_serving_wasted_inter_two4"," 1.1e+02"," 2.2e+02"," 2.8e+02"," 4.4e+02"," 6.3e+02","8.7e+02","1.1e+03","1.3e+03","2.6e+03"," 6.8e+02","0.000","0","1.00"
"y.good_learning_outcome_inter_one1"," 6.1e-01"," 6.6e-01"," 6.7e-01"," 7.0e-01"," 7.2e-01","7.5e-01","7.8e-01","7.9e-01","8.5e-01"," 7.2e-01","0.000","0","1.00"
"y.good_learning_outcome_inter_one2"," 6.1e-01"," 6.6e-01"," 6.7e-01"," 7.0e-01"," 7.2e-01","7.5e-01","7.8e-01","7.9e-01","8.5e-01"," 7.2e-01","0.000","0","1.00"
"y.good_learning_outcome_inter_one3"," 6.1e-01"," 6.6e-01"," 6.7e-01"," 7.0e-01"," 7.2e-01","7.5e-01","7.8e-01","7.9e-01","8.5e-01"," 7.2e-01","0.000","0","1.00"
"y.good_learning_outcome_inter_one4"," 6.1e-01"," 6.6e-01"," 6.7e-01"," 7.0e-01"," 7.2e-01","7.5e-01","7.8e-01","7.9e-01","8.5e-01"," 7.2e-01","0.000","0","1.00"
"y.good_learning_outcome_inter_two1"," 6.5e-01"," 7.0e-01"," 7.1e-01"," 7.4e-01"," 7.7e-01","7.9e-01","8.2e-01","8.3e-01","9.0e-01"," 7.7e-01","0.000","0","1.00"
"y.good_learning_outcome_inter_two2"," 6.5e-01"," 7.0e-01"," 7.2e-01"," 7.4e-01"," 7.7e-01","7.9e-01","8.2e-01","8.3e-01","9.0e-01"," 7.7e-01","0.000","0","1.00"
"y.good_learning_outcome_inter_two3"," 6.5e-01"," 7.0e-01"," 7.2e-01"," 7.4e-01"," 7.7e-01","7.9e-01","8.2e-01","8.3e-01","9.0e-01"," 7.7e-01","0.000","0","1.00"
"y.good_learning_outcome_inter_two4"," 6.5e-01"," 7.0e-01"," 7.2e-01"," 7.4e-01"," 7.7e-01","7.9e-01","8.2e-01","8.3e-01","9.0e-01"," 7.7e-01","0.000","0","1.00"
"y.maintain_good_nutrition_inter_one1"," 6.9e-01"," 7.4e-01"," 7.5e-01"," 7.9e-01"," 8.2e-01","8.4e-01","8.5e-01","8.6e-01","9.0e-01"," 8.1e-01","0.000","0","1.00"
"y.maintain_good_nutrition_inter_one2"," 6.9e-01"," 7.4e-01"," 7.5e-01"," 7.9e-01"," 8.2e-01","8.4e-01","8.5e-01","8.6e-01","9.0e-01"," 8.1e-01","0.000","0","1.00"
"y.maintain_good_nutrition_inter_one3"," 6.9e-01"," 7.4e-01"," 7.5e-01"," 7.9e-01"," 8.2e-01","8.4e-01","8.5e-01","8.6e-01","9.0e-01"," 8.1e-01","0.000","0","1.00"
"y.maintain_good_nutrition_inter_one4"," 6.9e-01"," 7.4e-01"," 7.6e-01"," 7.9e-01"," 8.2e-01","8.4e-01","8.5e-01","8.6e-01","9.0e-01"," 8.1e-01","0.000","0","1.00"
"y.maintain_good_nutrition_inter_two1"," 6.9e-01"," 7.3e-01"," 7.4e-01"," 8.0e-01"," 8.2e-01","8.4e-01","8.5e-01","8.6e-01","9.0e-01"," 8.1e-01","0.000","0","1.00"
"y.maintain_good_nutrition_inter_two2"," 6.9e-01"," 7.3e-01"," 7.4e-01"," 8.0e-01"," 8.2e-01","8.4e-01","8.5e-01","8.6e-01","9.0e-01"," 8.1e-01","0.000","0","1.00"
"y.maintain_good_nutrition_inter_two3"," 6.9e-01"," 7.3e-01"," 7.4e-01"," 8.0e-01"," 8.2e-01","8.4e-01","8.5e-01","8.6e-01","9.0e-01"," 8.1e-01","0.000","0","1.00"
"y.maintain_good_nutrition_inter_two4"," 6.9e-01"," 7.3e-01"," 7.4e-01"," 8.0e-01"," 8.2e-01","8.4e-01","8.5e-01","8.6e-01","9.0e-01"," 8.1e-01","0.000","0","1.00"
"y.maintain_good_water_intake_inter_one1"," 6.8e-01"," 7.3e-01"," 7.4e-01"," 7.6e-01"," 7.8e-01","8.0e-01","8.2e-01","8.3e-01","8.7e-01"," 7.8e-01","0.000","0","1.00"
"y.maintain_good_water_intake_inter_one2"," 6.8e-01"," 7.3e-01"," 7.4e-01"," 7.6e-01"," 7.8e-01","8.0e-01","8.2e-01","8.3e-01","8.7e-01"," 7.8e-01","0.000","0","1.00"
"y.maintain_good_water_intake_inter_one3"," 6.8e-01"," 7.3e-01"," 7.4e-01"," 7.6e-01"," 7.8e-01","8.0e-01","8.2e-01","8.3e-01","8.7e-01"," 7.8e-01","0.000","0","1.00"
"y.maintain_good_water_intake_inter_one4"," 6.8e-01"," 7.3e-01"," 7.4e-01"," 7.6e-01"," 7.8e-01","8.0e-01","8.2e-01","8.3e-01","8.7e-01"," 7.8e-01","0.000","0","1.00"
"y.maintain_good_water_intake_inter_two1"," 7.0e-01"," 7.5e-01"," 7.6e-01"," 7.7e-01"," 8.0e-01","8.1e-01","8.3e-01","8.4e-01","8.8e-01"," 7.9e-01","0.000","0","1.00"
"y.maintain_good_water_intake_inter_two2"," 7.0e-01"," 7.5e-01"," 7.6e-01"," 7.7e-01"," 8.0e-01","8.1e-01","8.3e-01","8.4e-01","8.8e-01"," 7.9e-01","0.000","0","1.00"
"y.maintain_good_water_intake_inter_two3"," 7.0e-01"," 7.5e-01"," 7.6e-01"," 7.7e-01"," 8.0e-01","8.1e-01","8.3e-01","8.4e-01","8.8e-01"," 7.9e-01","0.000","0","1.00"
"y.maintain_good_water_intake_inter_two4"," 7.0e-01"," 7.4e-01"," 7.6e-01"," 7.7e-01"," 8.0e-01","8.1e-01","8.3e-01","8.4e-01","8.8e-01"," 7.9e-01","0.000","0","1.00"
"y.percent_achieving_nutrition_outcome_inter_one1"," 8.1e-01"," 8.2e-01"," 8.3e-01"," 8.3e-01"," 8.4e-01","8.4e-01","8.5e-01","8.5e-01","8.7e-01"," 8.4e-01","0.000","0","1.00"
"y.percent_achieving_nutrition_outcome_inter_one2"," 8.1e-01"," 8.2e-01"," 8.3e-01"," 8.3e-01"," 8.4e-01","8.4e-01","8.5e-01","8.5e-01","8.7e-01"," 8.4e-01","0.000","0","1.00"
"y.percent_achieving_nutrition_outcome_inter_one3"," 8.1e-01"," 8.2e-01"," 8.3e-01"," 8.3e-01"," 8.4e-01","8.4e-01","8.5e-01","8.5e-01","8.7e-01"," 8.4e-01","0.000","0","1.00"
"y.percent_achieving_nutrition_outcome_inter_one4"," 8.1e-01"," 8.2e-01"," 8.3e-01"," 8.3e-01"," 8.4e-01","8.4e-01","8.5e-01","8.5e-01","8.7e-01"," 8.4e-01","0.000","0","1.00"
"y.percent_achieving_nutrition_outcome_inter_two1"," 9.2e-01"," 9.3e-01"," 9.3e-01"," 9.4e-01"," 9.5e-01","9.5e-01","9.6e-01","9.6e-01","9.7e-01"," 9.4e-01","0.000","0","1.00"
"y.percent_achieving_nutrition_outcome_inter_two2"," 9.2e-01"," 9.3e-01"," 9.3e-01"," 9.4e-01"," 9.5e-01","9.5e-01","9.6e-01","9.6e-01","9.7e-01"," 9.4e-01","0.000","0","1.00"
"y.percent_achieving_nutrition_outcome_inter_two3"," 9.1e-01"," 9.3e-01"," 9.3e-01"," 9.4e-01"," 9.5e-01","9.5e-01","9.6e-01","9.6e-01","9.7e-01"," 9.4e-01","0.000","0","1.00"
"y.percent_achieving_nutrition_outcome_inter_two4"," 9.2e-01"," 9.3e-01"," 9.3e-01"," 9.4e-01"," 9.5e-01","9.5e-01","9.6e-01","9.6e-01","9.7e-01"," 9.4e-01","0.000","0","1.00"
"y.good_mental_wellbeing_inter_one1"," 6.5e-01"," 6.9e-01"," 7.0e-01"," 7.2e-01"," 7.3e-01","7.5e-01","7.7e-01","7.8e-01","8.2e-01"," 7.3e-01","0.000","0","1.00"
"y.good_mental_wellbeing_inter_one2"," 6.5e-01"," 6.9e-01"," 7.0e-01"," 7.2e-01"," 7.3e-01","7.5e-01","7.7e-01","7.8e-01","8.2e-01"," 7.3e-01","0.000","0","1.00"
"y.good_mental_wellbeing_inter_one3"," 6.5e-01"," 6.9e-01"," 7.0e-01"," 7.2e-01"," 7.3e-01","7.5e-01","7.7e-01","7.8e-01","8.2e-01"," 7.3e-01","0.000","0","1.00"
"y.good_mental_wellbeing_inter_one4"," 6.5e-01"," 6.9e-01"," 7.0e-01"," 7.2e-01"," 7.3e-01","7.5e-01","7.7e-01","7.8e-01","8.2e-01"," 7.3e-01","0.000","0","1.00"
"y.good_mental_wellbeing_inter_two1"," 6.7e-01"," 7.2e-01"," 7.2e-01"," 7.4e-01"," 7.5e-01","7.7e-01","7.9e-01","8.0e-01","8.4e-01"," 7.6e-01","0.000","0","1.00"
"y.good_mental_wellbeing_inter_two2"," 6.7e-01"," 7.2e-01"," 7.2e-01"," 7.4e-01"," 7.5e-01","7.7e-01","7.9e-01","8.0e-01","8.4e-01"," 7.6e-01","0.000","0","1.00"
"y.good_mental_wellbeing_inter_two3"," 6.7e-01"," 7.2e-01"," 7.2e-01"," 7.4e-01"," 7.5e-01","7.7e-01","7.9e-01","8.0e-01","8.4e-01"," 7.6e-01","0.000","0","1.00"
"y.good_mental_wellbeing_inter_two4"," 6.7e-01"," 7.2e-01"," 7.2e-01"," 7.4e-01"," 7.5e-01","7.7e-01","7.9e-01","8.0e-01","8.4e-01"," 7.6e-01","0.000","0","1.00"
"y.days_40_dash_inter_one1","-6.0e+01"," 1.3e+01"," 2.9e+01"," 5.5e+01"," 8.1e+01","1.1e+02","1.5e+02","1.8e+02","2.2e+03"," 9.0e+01","0.027","0","0.97"
"y.days_40_dash_inter_one2","-6.0e+01"," 1.3e+01"," 2.9e+01"," 5.5e+01"," 8.1e+01","1.1e+02","1.5e+02","1.8e+02","2.2e+03"," 9.0e+01","0.027","0","0.97"
"y.days_40_dash_inter_one3","-6.0e+01"," 1.3e+01"," 2.9e+01"," 5.5e+01"," 8.1e+01","1.1e+02","1.5e+02","1.8e+02","2.2e+03"," 9.0e+01","0.027","0","0.97"
"y.days_40_dash_inter_one4","-6.0e+01"," 1.3e+01"," 2.9e+01"," 5.5e+01"," 8.1e+01","1.1e+02","1.5e+02","1.8e+02","2.2e+03"," 9.0e+01","0.027","0","0.97"
"y.days_40_dash_inter_two1","-6.0e+01"," 1.3e+01"," 2.9e+01"," 5.5e+01"," 8.1e+01","1.1e+02","1.5e+02","1.8e+02","2.2e+03"," 9.0e+01","0.027","0","0.97"
"y.days_40_dash_inter_two2","-6.0e+01"," 1.3e+01"," 2.9e+01"," 5.5e+01"," 8.1e+01","1.1e+02","1.5e+02","1.8e+02","2.2e+03"," 9.0e+01","0.027","0","0.97"
"y.days_40_dash_inter_two3","-6.0e+01"," 1.3e+01"," 2.9e+01"," 5.5e+01"," 8.1e+01","1.1e+02","1.5e+02","1.8e+02","2.2e+03"," 9.0e+01","0.027","0","0.97"
"y.days_40_dash_inter_two4","-6.0e+01"," 1.3e+01"," 2.9e+01"," 5.5e+01"," 8.1e+01","1.1e+02","1.5e+02","1.8e+02","2.2e+03"," 9.0e+01","0.027","0","0.97"
"y.days_10_dash_inter_one1","-2.1e+02"," 7.9e+01"," 1.3e+02"," 1.9e+02"," 2.6e+02","3.3e+02","4.0e+02","4.7e+02","1.2e+03"," 2.6e+02","0.013","0","0.99"
"y.days_10_dash_inter_one2","-2.1e+02"," 7.9e+01"," 1.3e+02"," 1.9e+02"," 2.6e+02","3.3e+02","4.0e+02","4.7e+02","1.2e+03"," 2.6e+02","0.013","0","0.99"
"y.days_10_dash_inter_one3","-2.1e+02"," 7.9e+01"," 1.3e+02"," 1.9e+02"," 2.6e+02","3.3e+02","4.0e+02","4.7e+02","1.2e+03"," 2.6e+02","0.013","0","0.99"
"y.days_10_dash_inter_one4","-2.1e+02"," 7.9e+01"," 1.3e+02"," 1.9e+02"," 2.6e+02","3.3e+02","4.0e+02","4.7e+02","1.2e+03"," 2.6e+02","0.013","0","0.99"
"y.days_10_dash_inter_two1","-2.1e+02"," 7.9e+01"," 1.3e+02"," 1.9e+02"," 2.6e+02","3.3e+02","4.0e+02","4.7e+02","1.2e+03"," 2.6e+02","0.013","0","0.99"
"y.days_10_dash_inter_two2","-2.1e+02"," 7.9e+01"," 1.3e+02"," 1.9e+02"," 2.6e+02","3.3e+02","4.0e+02","4.7e+02","1.2e+03"," 2.6e+02","0.013","0","0.99"
"y.days_10_dash_inter_two3","-2.1e+02"," 7.9e+01"," 1.3e+02"," 1.9e+02"," 2.6e+02","3.3e+02","4.0e+02","4.7e+02","1.2e+03"," 2.6e+02","0.013","0","0.99"
"y.days_10_dash_inter_two4","-2.1e+02"," 7.9e+01"," 1.3e+02"," 1.9e+02"," 2.6e+02","3.3e+02","4.0e+02","4.7e+02","1.2e+03"," 2.6e+02","0.013","0","0.99"
"y.days_shuttle_run_inter_one1"," 1.8e+01"," 4.7e+01"," 5.4e+01"," 6.4e+01"," 8.1e+01","1.0e+02","1.3e+02","1.5e+02","7.2e+02"," 8.7e+01","0.000","0","1.00"
"y.days_shuttle_run_inter_one2"," 1.8e+01"," 4.7e+01"," 5.4e+01"," 6.4e+01"," 8.1e+01","1.0e+02","1.3e+02","1.5e+02","7.2e+02"," 8.7e+01","0.000","0","1.00"
"y.days_shuttle_run_inter_one3"," 1.8e+01"," 4.7e+01"," 5.4e+01"," 6.4e+01"," 8.1e+01","1.0e+02","1.3e+02","1.5e+02","7.2e+02"," 8.7e+01","0.000","0","1.00"
"y.days_shuttle_run_inter_one4"," 1.8e+01"," 4.7e+01"," 5.4e+01"," 6.4e+01"," 8.1e+01","1.0e+02","1.3e+02","1.5e+02","7.2e+02"," 8.7e+01","0.000","0","1.00"
"y.days_shuttle_run_inter_two1"," 1.8e+01"," 4.7e+01"," 5.4e+01"," 6.4e+01"," 8.1e+01","1.0e+02","1.3e+02","1.5e+02","7.2e+02"," 8.7e+01","0.000","0","1.00"
"y.days_shuttle_run_inter_two2"," 1.8e+01"," 4.7e+01"," 5.4e+01"," 6.4e+01"," 8.1e+01","1.0e+02","1.3e+02","1.5e+02","7.2e+02"," 8.7e+01","0.000","0","1.00"
